"HOUSEHOLD DATA
ANNUAL AVERAGES
39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2020,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Total, full-time wage and salary workers","110,387",$984,"60,911","$1,082","49,476",$891
,,,,,,
"Management, professional, and related occupations","50,023","1,356","24,090","1,578","25,933","1,164"
"Management, business, and financial operations occupations","20,811","1,461","11,082","1,667","9,729","1,274"
Management occupations,"13,517","1,541","7,770","1,737","5,747","1,347"
Chief executives,"1,157","2,402",794,"2,712",363,"2,051"
General and operations managers,983,"1,453",702,"1,541",281,"1,241"
Legislators,11,–,9,–,3,–
Advertising and promotions managers,46,–,19,–,27,–
Marketing managers,483,"1,537",199,"1,732",284,"1,435"
Sales managers,495,"1,794",332,"1,896",163,"1,411"
Public relations and fundraising managers,74,"1,344",25,–,50,"1,286"
Administrative services managers,62,"1,284",22,–,41,–
Facilities managers,122,"1,318",89,"1,389",33,–
Computer and information systems managers,703,"2,018",516,"2,091",187,"1,910"
Financial managers,"1,228","1,492",603,"1,880",624,"1,242"
Compensation and benefits managers,14,–,1,–,13,–
Human resources managers,264,"1,644",70,"1,748",194,"1,599"
Training and development managers,47,–,27,–,20,–
Industrial production managers,248,"1,550",195,"1,582",53,"1,402"
Purchasing managers,221,"1,544",123,"1,636",98,"1,441"
"Transportation, storage, and distribution managers",266,972,212,989,55,943
"Farmers, ranchers, and other agricultural managers",109,874,92,874,17,–
Construction managers,606,"1,575",556,"1,586",50,"1,368"
Education and childcare administrators,846,"1,462",286,"1,590",560,"1,400"
Architectural and engineering managers,155,"2,413",140,"2,402",15,–
Food service managers,707,877,363,"1,006",344,791
Funeral home managers,6,–,4,–,3,–
Entertainment and recreation managers,34,–,24,–,9,–
Lodging managers,74,888,36,–,38,–
Medical and health services managers,629,"1,555",192,"1,839",438,"1,464"
Natural sciences managers,11,–,3,–,8,–
Postmasters and mail superintendents,19,–,9,–,10,–
"Property, real estate, and community association managers",433,"1,140",209,"1,182",224,"1,086"
Social and community service managers,330,"1,234",90,"1,580",240,"1,163"
Emergency management directors,10,–,7,–,3,–
"Personal service managers, all other",2,–,1,–,1,–
"Managers, all other","3,120","1,564","1,821","1,749","1,299","1,379"
Business and financial operations occupations,"7,294","1,363","3,312","1,550","3,982","1,209"
"Agents and business managers of artists, performers, and athletes",27,–,12,–,15,–
"Buyers and purchasing agents, farm products",9,–,5,–,4,–
"Wholesale and retail buyers, except farm products",130,"1,053",64,"1,047",66,"1,066"
"Purchasing agents, except wholesale, retail, and farm products",219,"1,231",106,"1,387",113,"1,138"
"Claims adjusters, appraisers, examiners, and investigators",325,"1,108",122,"1,336",203,967
Compliance officers,286,"1,372",119,"1,373",167,"1,371"
Cost estimators,111,"1,434",96,"1,456",15,–
Human resources workers,739,"1,251",185,"1,443",553,"1,174"
"Compensation, benefits, and job analysis specialists",67,"1,143",14,–,53,"1,041"
Training and development specialists,103,"1,255",43,–,60,"1,171"
Logisticians,134,"1,173",84,"1,256",50,"1,140"
Project management specialists,644,"1,560",350,"1,693",295,"1,468"
Management analysts,658,"1,629",384,"1,856",273,"1,455"
"Meeting, convention, and event planners",92,"1,049",29,–,63,996
Fundraisers,91,"1,479",26,–,65,"1,486"
Market research analysts and marketing specialists,358,"1,326",145,"1,608",212,"1,198"
"Business operations specialists, all other",271,"1,273",126,"1,540",144,"1,086"
Accountants and auditors,"1,488","1,298",595,"1,520",893,"1,186"
Property appraisers and assessors,51,"1,225",32,–,19,–
Budget analysts,66,"1,461",33,–,32,–
Credit analysts,20,–,9,–,11,–
Financial and investment analysts,310,"1,590",182,"1,742",128,"1,488"
Personal financial advisors,400,"1,638",251,"1,900",149,"1,291"
Insurance underwriters,101,"1,261",42,–,59,"1,141"
Financial examiners,21,–,8,–,13,–
Credit counselors and loan officers,391,"1,199",169,"1,492",222,"1,013"
"Tax examiners and collectors, and revenue agents",59,"1,086",26,–,33,–
Tax preparers,44,–,17,–,27,–
Other financial specialists,80,"1,328",37,–,43,–
